File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
     0.01s   0.1% 89.22%      0.61s  6.09%  github.com/quic-go/qtls-go1-20.(*atLeastReader).Read
     0.01s   0.1% 89.32%      0.73s  7.29%  github.com/quic-go/qtls-go1-20.(*xorNonceAEAD).Open
     0.01s   0.1% 89.42%      0.01s   0.1%  github.com/quic-go/qtls-go1-20.(*xorNonceAEAD).explicitNonceLen
     0.01s   0.1% 89.52%      0.09s   0.9%  github.com/quic-go/quic-go.(*connection).handlePacket
     0.01s   0.1% 89.62%      0.07s   0.7%  github.com/quic-go/quic-go.(*connection).handleShortHeaderPacket.func1
     0.01s   0.1% 89.72%      0.07s   0.7%  github.com/quic-go/quic-go.(*connection).handleShortHeaderPacket.func2
     0.01s   0.1% 89.82%      0.42s  4.19%  github.com/quic-go/quic-go.(*connection).handleStreamFrame
     0.01s   0.1% 89.92%      1.18s 11.78%  github.com/quic-go/quic-go.(*connection).handleUnpackedShortHeaderPacket
     0.01s   0.1% 90.02%      0.07s   0.7%  github.com/quic-go/quic-go.(*connection).registerPackedShortHeaderPacket
     0.01s   0.1% 90.12%      3.36s 33.53%  github.com/quic-go/quic-go.(*connection).run
     0.01s   0.1% 90.22%      0.08s   0.8%  github.com/quic-go/quic-go.(*frameSorter).Pop (inline)
     0.01s   0.1% 90.32%      0.01s   0.1%  github.com/quic-go/quic-go.(*framerI).HasData
     0.01s   0.1% 90.42%      0.04s   0.4%  github.com/quic-go/quic-go.(*outgoingStreamsMap[...]).GetStream
     0.01s   0.1% 90.52%      0.08s   0.8%  github.com/quic-go/quic-go.(*packetBuffer).MaybeRelease (inline)
     0.01s   0.1% 90.62%      0.10s     1%  github.com/quic-go/quic-go.(*packetPacker).AppendPacket
     0.01s   0.1% 90.72%      0.05s   0.5%  github.com/quic-go/quic-go.(*packetPacker).appendShortHeaderPacket
     0.01s   0.1% 90.82%      0.33s  3.29%  github.com/quic-go/quic-go.(*receiveStream).HandleStreamFrame
     0.01s   0.1% 90.92%      0.10s     1%  github.com/quic-go/quic-go.(*receiveStream).dequeueNextFrame
     0.01s   0.1% 91.02%      0.32s  3.19%  github.com/quic-go/quic-go.(*receiveStream).handleStreamFrame
     0.01s   0.1% 91.12%      0.06s   0.6%  github.com/quic-go/quic-go.(*sendQueue).Send
     0.01s   0.1% 91.22%      0.01s   0.1%  github.com/quic-go/quic-go.(*sendQueue).WouldBlock
     0.01s   0.1% 91.32%      0.01s   0.1%  github.com/quic-go/quic-go.(*windowUpdateQueue).AddConnection
     0.01s   0.1% 91.42%      0.01s   0.1%  github.com/quic-go/quic-go.(*windowUpdateQueue).QueueAll
     0.01s   0.1% 91.52%      0.01s   0.1%  github.com/quic-go/quic-go.appendUDPSegmentSizeMsg
     0.01s   0.1% 91.62%      0.01s   0.1%  github.com/quic-go/quic-go.convertStreamError
     0.01s   0.1% 91.72%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketHandler).GetAlarmTimeout
     0.01s   0.1% 91.82%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketHandler).IsPotentiallyDuplicate
     0.01s   0.1% 91.92%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketTracker).IgnoreBelow
     0.01s   0.1% 92.02%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHandler).GetLossDetectionTimeout
     0.01s   0.1% 92.12%      0.07s   0.7%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHandler).SendMode
     0.01s   0.1% 92.22%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHistory).SentNonAckElicitingPacket
     0.01s   0.1% 92.32%      0.02s   0.2%  github.com/quic-go/quic-go/internal/congestion.(*cubicSender).BandwidthEstimate
     0.01s   0.1% 92.42%      0.02s   0.2%  github.com/quic-go/quic-go/internal/congestion.(*pacer).maxBurstSize
     0.01s   0.1% 92.51%      0.02s   0.2%  github.com/quic-go/quic-go/internal/flowcontrol.(*connectionFlowController).IncrementHighestReceived
     0.01s   0.1% 92.61%      0.06s   0.6%  github.com/quic-go/quic-go/internal/handshake.(*aesHeaderProtector).apply
     0.01s   0.1% 92.71%      0.03s   0.3%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).DecodePacketNumber
     0.01s   0.1% 92.81%      0.06s   0.6%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).DecryptHeader
     0.01s   0.1% 92.91%      0.01s   0.1%  github.com/quic-go/quic-go/internal/utils.(*RTTStats).SmoothedRTT
     0.01s   0.1% 93.01%      0.08s   0.8%  github.com/quic-go/quic-go/internal/utils.(*Timer).Reset
     0.01s   0.1% 93.11%      0.01s   0.1%  github.com/quic-go/quic-go/internal/utils/linkedlist.(*Element[...]).Next
     0.01s   0.1% 93.21%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.(*AckFrame).Length
     0.01s   0.1% 93.31%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.(*frameParser).isAllowedAtEncLevel
     0.01s   0.1% 93.41%      0.36s  3.59%  github.com/quic-go/quic-go/internal/wire.(*frameParser).parseFrame
     0.01s   0.1% 93.51%      0.01s   0.1%  github.com/quic-go/quic-go/internal/wire.ParseConnectionID
     0.01s   0.1% 93.61%      0.34s  3.39%  github.com/quic-go/quic-go/internal/wire.parseStreamFrame
     0.01s   0.1% 93.71%      0.03s   0.3%  github.com/quic-go/quic-go/internal/xads.(*cryptoSetup).extraConfigForStream.func1
     0.01s   0.1% 93.81%      0.60s  5.99%  github.com/quic-go/quic-go/internal/xads.(*streamConnAdapter).Read
     0.01s   0.1% 93.91%      0.01s   0.1%  github.com/quic-go/quic-go/logging.(*connTracerMultiplexer).SentShortHeaderPacket
     0.01s   0.1% 94.01%      0.01s   0.1%  github.com/quic-go/quic-go/quicvarint.Append
     0.01s   0.1% 94.11%      0.01s   0.1%  golang.org/x/net/internal/socket.(*iovec).set
     0.01s   0.1% 94.21%      0.02s   0.2%  golang.org/x/net/internal/socket.(*mmsgTmpsPool).Put
     0.01s   0.1% 94.31%      0.01s   0.1%  golang.org/x/net/internal/socket.(*mmsghdrsPacker).prepare
     0.01s   0.1% 94.41%      0.01s   0.1%  golang.org/x/net/internal/socket.(*msghdr).flags
     0.01s   0.1% 94.51%      1.43s 14.27%  golang.org/x/net/internal/socket.(*syscaller).recvmmsg
     0.01s   0.1% 94.61%      0.01s   0.1%  golang.org/x/sys/unix.ParseOneSocketControlMessage
     0.01s   0.1% 94.71%      0.79s  7.88%  internal/poll.(*FD).WriteMsg
     0.01s   0.1% 94.81%      0.01s   0.1%  internal/poll.(*FD).readUnlock
     0.01s   0.1% 94.91%      0.01s   0.1%  internal/poll.(*pollDesc).prepare
     0.01s   0.1% 95.01%      0.01s   0.1%  net/netip.AddrFrom4
     0.01s   0.1% 95.11%      0.02s   0.2%  qperf-go/common.(*State).AddReceivedPackets
     0.01s   0.1% 95.21%      0.01s   0.1%  qperf-go/common.(*State).AddRttStats
     0.01s   0.1% 95.31%      0.01s   0.1%  qperf-go/perf/perf_client.(*responseReceiveStream).run.func1
     0.01s   0.1% 95.41%      0.01s   0.1%  runtime.(*limiterEvent).stop
     0.01s   0.1% 95.51%      0.01s   0.1%  runtime.(*m).becomeSpinning
     0.01s   0.1% 95.61%      0.01s   0.1%  runtime.(*mcache).prepareForSweep
     0.01s   0.1% 95.71%      0.01s   0.1%  runtime.(*mcentral).fullSwept
     0.01s   0.1% 95.81%      0.01s   0.1%  runtime.(*mheap).initSpan
     0.01s   0.1% 95.91%      0.01s   0.1%  runtime.(*semaRoot).dequeue
     0.01s   0.1% 96.01%      0.01s   0.1%  runtime.(*spanSet).pop
     0.01s   0.1% 96.11%      0.02s   0.2%  runtime.(*spanSet).push
     0.01s   0.1% 96.21%      0.02s   0.2%  runtime.(*spanSet).reset
     0.01s   0.1% 96.31%      0.01s   0.1%  runtime.arenaIndex
     0.01s   0.1% 96.41%      0.04s   0.4%  runtime.chanrecv1
     0.01s   0.1% 96.51%      0.13s  1.30%  runtime.chansend
     0.01s   0.1% 96.61%      0.02s   0.2%  runtime.checkTimersNoP
     0.01s   0.1% 96.71%      0.01s   0.1%  runtime.empty
     0.01s   0.1% 96.81%      0.05s   0.5%  runtime.execute
     0.01s   0.1% 96.91%      0.02s   0.2%  runtime.exitsyscallfast
     0.01s   0.1% 97.01%      0.08s   0.8%  runtime.futexsleep
     0.01s   0.1% 97.11%      0.02s   0.2%  runtime.gopark
     0.01s   0.1% 97.21%      0.12s  1.20%  runtime.goready
     0.01s   0.1% 97.31%      0.01s   0.1%  runtime.greyobject
     0.01s   0.1% 97.41%      0.01s   0.1%  runtime.heapBits.nextFast
